date,time,zoneCalendarEvent,zoneAveTemp,outdoorTemp,zoneCoolTemp,zoneHeatTemp,zoneHvacMode,zoneOccupancy,zoneHumidity,zoneHumidityLow,zoneHumidityHigh,auxHeat1,auxHeat2,auxHeat3,compCool1,compCool2,compHeat1,compHeat2,dehumidifier,dmOffset,economizer,fan,humidifier,outdoorHumidity,kW,kWh
2016-04-05,17:00:00,,70.5,42.3,81,66,compressorHeatOn,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,17:05:00,,70.5,42.3,81,66,compressorHeatOn,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,17:10:00,,70.4,42.3,81,66,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,17:15:00,,70.4,42.3,81,66,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,17:20:00,,70.4,42.3,81,66,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,17:25:00,,70.5,42.3,81,66,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,17:30:00,,70.7,42.3,81,66,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,17:35:00,,70.8,42.3,81,66,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,17:40:00,,70.7,42.3,81,66,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,17:45:00,,70.7,42.3,81,66,compressorHeatOff,0,39,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,17:50:00,,70.6,42.3,81,66,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,17:55:00,,70.6,42.3,81,66,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,18:00:00,,70.8,42.3,81,66,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,52,0,0
2016-04-05,18:05:00,,71,42.3,81,66,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,52,0,0
2016-04-05,18:10:00,,71.2,42.3,81,66,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,52,0,0
2016-04-05,18:15:00,,71.3,42.3,81,66,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,52,0,0
2016-04-05,18:20:00,,71.4,42.3,81,66,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,52,0,0
2016-04-05,18:25:00,,71.5,42.3,80.7,66.4,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,52,0,0
2016-04-05,18:30:00,,71.4,42.9,78,70,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,18:35:00,,71.3,42.9,78,70,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,18:40:00,,71.2,42.9,78,70,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,18:45:00,,71.1,42.9,78,70,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,18:50:00,,71,42.9,78,70,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,18:55:00,,70.9,42.9,78,70,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,19:00:00,,70.7,42.9,78,70,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,19:05:00,,70.6,42.9,78,70,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,19:10:00,,70.4,42.9,78,70,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,19:15:00,,70.3,42.9,78,70,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,19:20:00,,70.3,42.9,78,70,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,19:25:00,,70.3,42.9,78,70,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,19:30:00,,70.3,42.9,78,70,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,19:35:00,,70.4,42.9,78,70,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,19:40:00,,70.3,42.9,78,70,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,19:45:00,,70.4,42.9,78,70,compressorHeatOff,0,41,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
2016-04-05,19:50:00,,70.4,42.9,78,70,compressorHeatOff,0,41,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
