date,time,zoneCalendarEvent,zoneAveTemp,outdoorTemp,zoneCoolTemp,zoneHeatTemp,zoneHvacMode,zoneOccupancy,zoneHumidity,zoneHumidityLow,zoneHumidityHigh,auxHeat1,auxHeat2,auxHeat3,compCool1,compCool2,compHeat1,compHeat2,dehumidifier,dmOffset,economizer,fan,humidifier,outdoorHumidity,kW,kWh
4/5/2016,17:00:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,17:05:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,17:10:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,17:15:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,17:20:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,17:25:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,17:30:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,17:35:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,17:40:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,17:45:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,17:50:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,17:55:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,18:00:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,18:05:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,18:10:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,18:15:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,18:20:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,18:25:00,,,42.3,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,18:30:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,18:35:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,18:40:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,18:45:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,18:50:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,18:55:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,19:00:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,19:05:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,19:10:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,19:15:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,19:20:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,19:25:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,19:30:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,19:35:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,19:40:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,19:45:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,19:50:00,,,42.9,,,,,,,,,,,,,,,,,,,,,,
