date,time,zoneCalendarEvent,zoneAveTemp,outdoorTemp,zoneCoolTemp,zoneHeatTemp,zoneHvacMode,zoneOccupancy,zoneHumidity,zoneHumidityLow,zoneHumidityHigh,auxHeat1,auxHeat2,auxHeat3,compCool1,compCool2,compHeat1,compHeat2,dehumidifier,dmOffset,economizer,fan,humidifier,outdoorHumidity,kW,kWh
4/5/2016,17:00:00,DR1,73.5,46.3,84,69,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
4/5/2016,17:05:00,DR1,73.5,46.3,84,69,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,0,0
4/5/2016,17:10:00,DR1,73.4,46.3,84,69,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,2.87,0.24
4/5/2016,17:15:00,DR1,73.4,46.3,84,69,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,2.87,0.24
4/5/2016,17:20:00,DR1,73.4,46.3,84,69,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,2.87,0.24
4/5/2016,17:25:00,DR1,73.5,46.3,84,69,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,2.87,0.24
4/5/2016,17:30:00,DR1,73.7,46.3,84,69,compressorHeatOn,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,2.87,0.24
4/5/2016,17:35:00,DR1,73.8,46.3,84,69,compressorHeatOn,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,2.87,0.24
4/5/2016,17:40:00,DR1,73.7,46.3,84,69,compressorHeatOn,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,2.87,0.24
4/5/2016,17:45:00,DR1,73.7,46.3,84,69,compressorHeatOn,0,39,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,2.87,0.24
4/5/2016,17:50:00,DR1,73.6,46.3,84,69,compressorHeatOn,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,2.87,0.24
4/5/2016,17:55:00,DR1,73.6,46.3,84,69,compressorHeatOn,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,53,2.87,0.24
4/5/2016,18:00:00,DR1,73.8,46.3,84,69,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,52,2.87,0.24
4/5/2016,18:05:00,DR1,74,46.3,84,69,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,52,0,0
4/5/2016,18:10:00,DR1,74.2,46.3,84,69,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,52,0,0
4/5/2016,18:15:00,DR1,74.3,46.3,84,69,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,52,0,0
4/5/2016,18:20:00,DR1,74.4,46.3,84,69,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,52,0,0
4/5/2016,18:25:00,DR1,74.5,46.3,83.7,69.4,compressorHeatOff,0,40,0,0,0,0,0,0,0,0,0,0,,0,0,0,52,0,0
