Date,Time,Participating,Non Participating,Difference
2016-04-05,17:00:00,0.00,1.68,1.68
2016-04-05,17:15:00,1.20,2.63,1.43
2016-04-05,17:30:00,1.68,2.87,1.19
2016-04-05,17:45:00,1.44,1.44,-0.00
2016-04-05,18:00:00,0.96,0.24,-0.72
2016-04-05,18:15:00,0.24,0.00,-0.24
2016-04-05,18:30:00,0.00,0.00,0.00
2016-04-05,18:45:00,0.24,0.00,-0.24
2016-04-05,19:00:00,0.72,0.72,0.00
2016-04-05,19:15:00,1.44,1.44,0.00
2016-04-05,19:30:00,0.72,1.20,0.48
2016-04-05,19:45:00,0.00,0.36,0.36
