Date,Time,Participating,Non Participating,Difference
2016-04-05,17:00:00,0.00,0.42,0.42
2016-04-05,17:15:00,0.30,0.66,0.36
2016-04-05,17:30:00,0.42,0.72,0.30
2016-04-05,17:45:00,0.36,0.36,0.00
2016-04-05,18:00:00,0.24,0.06,-0.18
2016-04-05,18:15:00,0.06,0.00,-0.06
2016-04-05,18:30:00,0.00,0.00,0.00
2016-04-05,18:45:00,0.06,0.00,-0.06
2016-04-05,19:00:00,0.18,0.18,0.00
2016-04-05,19:15:00,0.36,0.36,0.00
2016-04-05,19:30:00,0.18,0.30,0.12
2016-04-05,19:45:00,0.00,0.09,0.09
